id,op,dtype,M,N,K,layout,stride,threads,provider,semantic,runtime_ns,gflops,bw_gbps,error,status
88,GEMM,f32,16,16,16,NN,1,24,Eigen3,strict,276.25,29.65,11.12,0.000000,COMPLETED
89,GEMM,f32,16,16,16,NT,1,1,SIMD_AVX2,reassoc,6402.64,1.28,0.48,0.000000,COMPLETED
90,GEMM,f32,16,16,16,NT,1,4,SIMD_AVX2,reassoc,2366.15,3.46,1.30,0.000000,COMPLETED
91,GEMM,f32,16,16,16,NT,1,12,SIMD_AVX2,reassoc,2513.24,3.26,1.22,0.000000,COMPLETED
92,GEMM,f32,16,16,16,NT,1,24,SIMD_AVX2,reassoc,2662.50,3.08,1.15,0.000000,COMPLETED
93,GEMM,f32,16,16,16,TN,1,1,SIMD_AVX2,reassoc,1366.99,5.99,2.25,0.000000,COMPLETED
94,GEMM,f32,16,16,16,TN,1,4,SIMD_AVX2,reassoc,1004.18,8.16,3.06,0.000000,COMPLETED
95,GEMM,f32,16,16,16,TN,1,12,SIMD_AVX2,reassoc,1826.61,4.48,1.68,0.000000,COMPLETED
96,GEMM,f32,16,16,16,TN,1,24,SIMD_AVX2,reassoc,2126.14,3.85,1.44,0.000000,COMPLETED
97,GEMM,f32,16,16,16,TT,1,1,SIMD_AVX2,reassoc,4335.78,1.89,0.71,0.000000,COMPLETED
98,GEMM,f32,16,16,16,TT,1,4,SIMD_AVX2,reassoc,2683.98,3.05,1.14,0.000000,COMPLETED
99,GEMM,f32,16,16,16,TT,1,12,SIMD_AVX2,reassoc,2299.18,3.56,1.34,0.000000,COMPLETED
100,GEMM,f32,16,16,16,TT,1,24,SIMD_AVX2,reassoc,2728.54,3.00,1.13,0.000000,COMPLETED
101,GEMM,f32,24,24,24,NN,1,1,SIMD_AVX2,reassoc,3371.80,8.20,2.05,0.000000,COMPLETED
102,GEMM,f32,24,24,24,NN,1,1,Eigen3,strict,642.75,43.02,10.75,0.000000,COMPLETED
103,GEMM,f32,24,24,24,NN,1,4,SIMD_AVX2,reassoc,2028.55,13.63,3.41,0.000000,COMPLETED
104,GEMM,f32,24,24,24,NN,1,4,Eigen3,strict,614.75,44.97,11.24,0.000000,COMPLETED
105,GEMM,f32,24,24,24,NN,1,12,SIMD_AVX2,reassoc,2740.55,10.09,2.52,0.000000,COMPLETED
106,GEMM,f32,24,24,24,NN,1,12,Eigen3,strict,624.80,44.25,11.06,0.000000,COMPLETED
107,GEMM,f32,24,24,24,NN,1,24,SIMD_AVX2,reassoc,2411.40,11.47,2.87,0.000000,COMPLETED
108,GEMM,f32,24,24,24,NN,1,24,Eigen3,strict,622.25,44.43,11.11,0.000000,COMPLETED
109,GEMM,f32,24,24,24,NT,1,1,SIMD_AVX2,reassoc,20523.40,1.35,0.34,0.000000,COMPLETED
110,GEMM,f32,24,24,24,NT,1,4,SIMD_AVX2,reassoc,7270.20,3.80,0.95,0.000000,COMPLETED
111,GEMM,f32,24,24,24,NT,1,12,SIMD_AVX2,reassoc,3781.90,7.31,1.83,0.000000,COMPLETED
112,GEMM,f32,24,24,24,NT,1,24,SIMD_AVX2,reassoc,5378.35,5.14,1.29,0.000000,COMPLETED
113,GEMM,f32,24,24,24,TN,1,1,SIMD_AVX2,reassoc,3293.00,8.40,2.10,0.000000,COMPLETED
114,GEMM,f32,24,24,24,TN,1,4,SIMD_AVX2,reassoc,2350.40,11.76,2.94,0.000000,COMPLETED
115,GEMM,f32,24,24,24,TN,1,12,SIMD_AVX2,reassoc,1833.10,15.08,3.77,0.000000,COMPLETED
116,GEMM,f32,24,24,24,TN,1,24,SIMD_AVX2,reassoc,2909.70,9.50,2.38,0.000000,COMPLETED
117,GEMM,f32,24,24,24,TT,1,1,SIMD_AVX2,reassoc,20508.70,1.35,0.34,0.000000,COMPLETED
